V1	V2	semantics
bolshevise	00410206	change
bolshevize	00410206	change
bolster	00223800	change
bolster-up	00223800	change
bolt	01970046	motion
bolt-down	01204994	consumption
bolt-out	02014892	motion
bomb	01134328	competition
bomb-out	01134967	competition
bomb-up	01491092	contact
bombard	01510546	contact
bombilate	02186555	perception
bombinate	02186555	perception
bombproof	00166028	change
bond	01359453	contact
bonderise	01269021	contact
bonderize	01269021	contact
bone	00607178	cognition
bone-up	00607178	cognition
bong	02188949	perception
bonk	01429048	contact
bonnet	00047228	body
boo	00863889	communication
boob	02572142	social
boogie	01901196	motion
book	00680696	cognition
book-up	00796542	communication
boom	02191956	perception
boom-out	02179106	perception
boomerang	02009792	motion
boondoggle	02452112	social
boost	01979926	motion
boost-up	01877777	motion
boot	01375221	contact
boot-out	02406951	social
bootleg	02246831	possession
bootlick	00882499	communication
bootstrap	02557749	social
booze	01173463	consumption
bop	01899256	motion
border	01469999	contact
border-on	02709812	stative
bore	01825834	emotion
borrow	02329022	possession
bosom	02151743	perception
boss	01534053	contact
boss-around	01785339	emotion
botanise	00647068	cognition
botanize	00647068	cognition
botch	02533317	social
botch-up	02533317	social
bother	02513113	social
bottle	02287925	possession
bottle-up	02428558	social
bottlefeed	01189804	consumption
bottleneck	02563728	social
bottom	02342695	possession
bottom-out	02011912	motion
bounce	01896097	motion
bounce-back	00268897	change
bounce-out	01407192	contact
bound	01967949	motion
bound-off	01896727	motion
bourgeon	00357986	change
bouse	01457724	contact
bow	00900454	communication
bow-down	02067538	motion
bow-out	02386122	social
bowdlerise	00201398	change
bowdlerize	00201398	change
bower	01392864	contact
bowl	01891317	motion
bowl-over	01913971	motion
bowse	01457724	contact
box	01487784	contact
box-in	02717596	stative
box-up	02717596	stative
boycott	02470917	social
brabble	00776101	communication
brace	01810076	emotion
brace-oneself-for	00274056	change
brace-up	00222144	change
brachiate	01895482	motion
bracket	01221355	contact
bracket-out	00802248	communication
brad	01345121	contact
brag	00884747	communication
braid	01678612	creation
brail	01217491	contact
braille	00997761	communication
brain	01404330	contact
brainstorm	00631885	cognition
brainwash	00772034	communication
braise	00326009	change
brake	01867803	motion
branch	00330054	change
branch-out	00437357	change
brand	02514312	social
brandish	01449520	contact
brandmark	01591797	contact
brattice	02341371	possession
brattle	02176571	perception
brave	02713111	stative
brave-out	02713111	stative
bravo	00862146	communication
brawl	00776389	communication
bray	01056425	communication
braze	01598618	contact
brazen	00870135	communication
breach	02572443	social
bread	01340335	contact
break	00364717	change
break-dance	01900477	motion
break-apart	01661660	creation
break-away	02077161	motion
break-bread	01174842	consumption
break-camp	02081104	motion
break-dance	01900477	motion
break-down	01106247	competition
break-even	02284863	possession
break-in	02576599	social
break-into	00988449	communication
break-loose	00307321	change
break-off	00363458	change
break-one's-back	02426299	social
break-open	01349112	contact
break-out	00346162	change
break-short	00363458	change
break-someone's-heart	01796980	emotion
break-through	00540850	change
break-up	02034269	motion
break-water	01965517	motion
break-wind	00101383	body
break-with	02436681	social
breakfast	01188273	consumption
bream	01247793	contact
breast	02716118	stative
breastfeed	01188961	consumption
breaststroke	01966185	motion
breathalyse	02539263	social
breathalyze	02539263	social
breathe	00001740	body
breathe-in	00005041	body
breathe-out	00004227	body
brecciate	01587942	contact
breed	01652566	creation
breeze	02775438	weather
breeze-through	02528247	social
brevet	02560505	social
brew	01667815	creation
bribe	02288941	possession
brick-in	01392732	contact
brick-over	01392732	contact
brick-up	01392732	contact
bridge	02629275	stative
bridge-over	02629427	stative
bridle	01790111	emotion
bridle-at	00850574	communication
bridle-up	00850574	communication
brief	00832934	communication
brigade	01092627	competition
brighten	00313597	change
brim	02721687	stative
brim-over	02076087	motion
brine	00216987	change
bring	02081903	motion
bring-about	02094946	motion
bring-around	00769167	communication
bring-back	02082541	motion
bring-down	01977139	motion
bring-forth	01630392	creation
bring-forward	01997958	motion
bring-home	00544241	change
bring-home-the-bacon	02529837	social
bring-in	02082838	motion
bring-off	02528530	social
bring-on	01647592	creation
bring-oneself	02512927	social
bring-out	02147756	perception
bring-outside	02088351	motion
bring-round	00769167	communication
